Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CDK8	gene	CDK8	TEMPUS	TEMPUS			Other																												
CDKN1A	gene	CDKN1A	TEMPUS	TEMPUS			Other																												
CDKN1B	gene	CDKN1B	TEMPUS	TEMPUS			Other																												
CDKN1C	gene	CDKN1C	TEMPUS	TEMPUS			Other																												
CDKN2A	gene	CDKN2A	TEMPUS	TEMPUS			Other																												
CDKN2B	gene	CDKN2B	TEMPUS	TEMPUS			Other																												
CDKN2C	gene	CDKN2C	TEMPUS	TEMPUS			Other																												
CEBPA	gene	CEBPA	TEMPUS	TEMPUS			Other																												
CEP57	gene	CEP57	TEMPUS	TEMPUS			Other																												
CFTR	gene	CFTR	TEMPUS	TEMPUS			Other																												
CHD2	gene	CHD2	TEMPUS	TEMPUS			Other																												
CHD4	gene	CHD4	TEMPUS	TEMPUS			Other																												
CHEK1	gene	CHEK1	TEMPUS	TEMPUS			Other																												
CHEK2	gene	CHEK2	TEMPUS	TEMPUS			Other																												
CIC	gene	CIC	TEMPUS	TEMPUS			Other																												
CIITA	gene	CIITA	TEMPUS	TEMPUS			Other																												
CKS1B	gene	CKS1B	TEMPUS	TEMPUS			Other																												
CREBBP	gene	CREBBP	TEMPUS	TEMPUS			Other																												
CRKL	gene	CRKL	TEMPUS	TEMPUS			Other																												
CRLF2	gene	CRLF2	TEMPUS	TEMPUS			Other																												
CSF1R	gene	CSF1R	TEMPUS	TEMPUS			Other																												
CSF3R	gene	CSF3R	TEMPUS	TEMPUS			Other																												
CTC1	gene	CTC1	TEMPUS	TEMPUS			Other																												
CTCF	gene	CTCF	TEMPUS	TEMPUS			Other																												
CTLA4	gene	CTLA4	TEMPUS	TEMPUS			Other																												
CTNNA1	gene	CTNNA1	TEMPUS	TEMPUS			Other																												
CTNNB1	gene	CTNNB1	TEMPUS	TEMPUS			Other																												
CTRC	gene	CTRC	TEMPUS	TEMPUS			Other																												
CUX1	gene	CUX1	TEMPUS	TEMPUS			Other																												
CXCR4	gene	CXCR4	TEMPUS	TEMPUS			Other																												
CYLD	gene	CYLD	TEMPUS	TEMPUS			Other																												
CYP1B1	gene	CYP1B1	TEMPUS	TEMPUS			Other																												
CYP2D6	gene	CYP2D6	TEMPUS	TEMPUS			Other																												
CYP3A5	gene	CYP3A5	TEMPUS	TEMPUS			Other																												
DAXX	gene	DAXX	TEMPUS	TEMPUS			Other																												
DDB2	gene	DDB2	TEMPUS	TEMPUS			Other																												
DDR2	gene	DDR2	TEMPUS	TEMPUS			Other																												
DDX3X	gene	DDX3X	TEMPUS	TEMPUS			Other																												
DICER1	gene	DICER1	TEMPUS	TEMPUS			Other																												
DIS3	gene	DIS3	TEMPUS	TEMPUS			Other																												
DIS3L2	gene	DIS3L2	TEMPUS	TEMPUS			Other																												
DKC1	gene	DKC1	TEMPUS	TEMPUS			Other																												
DNM2	gene	DNM2	TEMPUS	TEMPUS			Other																												
DNMT3A	gene	DNMT3A	TEMPUS	TEMPUS			Other																												
DOT1L	gene	DOT1L	TEMPUS	TEMPUS			Other																												
DPYD	gene	DPYD	TEMPUS	TEMPUS			Other																												
DYNC2H1	gene	DYNC2H1	TEMPUS	TEMPUS			Other																												
EBF1	gene	EBF1	TEMPUS	TEMPUS			Other																												
ECT2L	gene	ECT2L	TEMPUS	TEMPUS			Other																												
EGF	gene	EGF	TEMPUS	TEMPUS			Other																												
EGFR	gene	EGFR	TEMPUS	TEMPUS			Other																												
EGLN1	gene	EGLN1	TEMPUS	TEMPUS			Other																												
ELF3	gene	ELF3	TEMPUS	TEMPUS			Other																												
EMSY	gene	EMSY	TEMPUS	TEMPUS			Other																												
ENG	gene	ENG	TEMPUS	TEMPUS			Other																												
EP300	gene	EP300	TEMPUS	TEMPUS			Other																												
EPCAM	gene	EPCAM	TEMPUS	TEMPUS			Other																												
EPHA2	gene	EPHA2	TEMPUS	TEMPUS			Other																												
EPHA7	gene	EPHA7	TEMPUS	TEMPUS			Other																												
EPHB1	gene	EPHB1	TEMPUS	TEMPUS			Other																												
EPHB2	gene	EPHB2	TEMPUS	TEMPUS			Other																												
EPOR	gene	EPOR	TEMPUS	TEMPUS			Other																												
ERBB2	gene	ERBB2	TEMPUS	TEMPUS			Other																												
ERBB3	gene	ERBB3	TEMPUS	TEMPUS			Other																												
ERBB4	gene	ERBB4	TEMPUS	TEMPUS			Other																												
ERCC1	gene	ERCC1	TEMPUS	TEMPUS			Other																												
ERCC2	gene	ERCC2	TEMPUS	TEMPUS			Other																												
ERCC3	gene	ERCC3	TEMPUS	TEMPUS			Other																												
ERCC4	gene	ERCC4	TEMPUS	TEMPUS			Other																												
ERCC5	gene	ERCC5	TEMPUS	TEMPUS			Other																												
ERCC6	gene	ERCC6	TEMPUS	TEMPUS			Other																												
ERG	gene	ERG	TEMPUS	TEMPUS			Other																												
ERRFI1	gene	ERRFI1	TEMPUS	TEMPUS			Other																												
ESR1	gene	ESR1	TEMPUS	TEMPUS			Other																												
ETS1	gene	ETS1	TEMPUS	TEMPUS			Other																												
ETS2	gene	ETS2	TEMPUS	TEMPUS			Other																												
ETV1	gene	ETV1	TEMPUS	TEMPUS			Other																												
ETV4	gene	ETV4	TEMPUS	TEMPUS			Other																												
ETV5	gene	ETV5	TEMPUS	TEMPUS			Other																												
ETV6	gene	ETV6	TEMPUS	TEMPUS			Other																												
EWSR1	gene	EWSR1	TEMPUS	TEMPUS			Other																												
EZH2	gene	EZH2	TEMPUS	TEMPUS			Other																												
FANCA	gene	FANCA	TEMPUS	TEMPUS			Other																												
FANCB	gene	FANCB	TEMPUS	TEMPUS			Other																												
FANCC	gene	FANCC	TEMPUS	TEMPUS			Other																												
FANCD2	gene	FANCD2	TEMPUS	TEMPUS			Other																												
FANCE	gene	FANCE	TEMPUS	TEMPUS			Other																												
FANCF	gene	FANCF	TEMPUS	TEMPUS			Other																												
FANCG	gene	FANCG	TEMPUS	TEMPUS			Other																												
FANCI	gene	FANCI	TEMPUS	TEMPUS			Other																												
FANCL	gene	FANCL	TEMPUS	TEMPUS			Other																												
FANCM	gene	FANCM	TEMPUS	TEMPUS			Other																												
FAS	gene	FAS	TEMPUS	TEMPUS			Other																												
FAT1	gene	FAT1	TEMPUS	TEMPUS			Other																												
FBXO11	gene	FBXO11	TEMPUS	TEMPUS			Other																												
FBXW7	gene	FBXW7	TEMPUS	TEMPUS			Other																												
FCGR2A	gene	FCGR2A	TEMPUS	TEMPUS			Other																												
FCGR3A	gene	FCGR3A	TEMPUS	TEMPUS			Other																												
FDPS	gene	FDPS	TEMPUS	TEMPUS			Other																												
FGF1	gene	FGF1	TEMPUS	TEMPUS			Other																												
FGF10	gene	FGF10	TEMPUS	TEMPUS			Other																												
FGF14	gene	FGF14	TEMPUS	TEMPUS			Other																												
FGF2	gene	FGF2	TEMPUS	TEMPUS			Other																												
FGF23	gene	FGF23	TEMPUS	TEMPUS			Other																												
FGF3	gene	FGF3	TEMPUS	TEMPUS			Other																												
FGF4	gene	FGF4	TEMPUS	TEMPUS			Other																												
FGF5	gene	FGF5	TEMPUS	TEMPUS			Other																												
FGF6	gene	FGF6	TEMPUS	TEMPUS			Other																												
FGF7	gene	FGF7	TEMPUS	TEMPUS			Other																												
FGF8	gene	FGF8	TEMPUS	TEMPUS			Other																												
FGF9	gene	FGF9	TEMPUS	TEMPUS			Other																												
FGFR1	gene	FGFR1	TEMPUS	TEMPUS			Other																												
FGFR2	gene	FGFR2	TEMPUS	TEMPUS			Other																												
FGFR3	gene	FGFR3	TEMPUS	TEMPUS			Other																												
FGFR4	gene	FGFR4	TEMPUS	TEMPUS			Other																												
FH	gene	FH	TEMPUS	TEMPUS			Other																												
FHIT	gene	FHIT	TEMPUS	TEMPUS			Other																												
FLCN	gene	FLCN	TEMPUS	TEMPUS			Other																												
FLG	gene	FLG	TEMPUS	TEMPUS			Other																												
FLT1	gene	FLT1	TEMPUS	TEMPUS			Other																												
FLT3	gene	FLT3	TEMPUS	TEMPUS			Other																												
FLT4	gene	FLT4	TEMPUS	TEMPUS			Other																												
FNTB	gene	FNTB	TEMPUS	TEMPUS			Other																												
FOXA1	gene	FOXA1	TEMPUS	TEMPUS			Other																												
FOXL2	gene	FOXL2	TEMPUS	TEMPUS			Other																												
FOXO1	gene	FOXO1	TEMPUS	TEMPUS			Other																												
FOXO3	gene	FOXO3	TEMPUS	TEMPUS			Other																												
FOXP1	gene	FOXP1	TEMPUS	TEMPUS			Other																												
FOXQ1	gene	FOXQ1	TEMPUS	TEMPUS			Other																												
FRS2	gene	FRS2	TEMPUS	TEMPUS			Other																												
FUBP1	gene	FUBP1	TEMPUS	TEMPUS			Other																												
G6PD	gene	G6PD	TEMPUS	TEMPUS			Other																												
GALNT12	gene	GALNT12	TEMPUS	TEMPUS			Other																												
GATA1	gene	GATA1	TEMPUS	TEMPUS			Other																												
GATA2	gene	GATA2	TEMPUS	TEMPUS			Other																												
GATA3	gene	GATA3	TEMPUS	TEMPUS			Other																												
GATA4	gene	GATA4	TEMPUS	TEMPUS			Other																												
GATA6	gene	GATA6	TEMPUS	TEMPUS			Other																												
GEN1	gene	GEN1	TEMPUS	TEMPUS			Other																												
GLI1	gene	GLI1	TEMPUS	TEMPUS			Other																												
GNA11	gene	GNA11	TEMPUS	TEMPUS			Other																												
GNA13	gene	GNA13	TEMPUS	TEMPUS			Other																												
GNAQ	gene	GNAQ	TEMPUS	TEMPUS			Other																												
GNAS	gene	GNAS	TEMPUS	TEMPUS			Other																												
GPC3	gene	GPC3	TEMPUS	TEMPUS			Other																												
GPS2	gene	GPS2	TEMPUS	TEMPUS			Other																												
GREM1	gene	GREM1	TEMPUS	TEMPUS			Other																												
GRIN2A	gene	GRIN2A	TEMPUS	TEMPUS			Other																												
GRM3	gene	GRM3	TEMPUS	TEMPUS			Other																												
GSTP1	gene	GSTP1	TEMPUS	TEMPUS			Other																												
H19	gene	H19	TEMPUS	TEMPUS			Other																												
H3F3A	gene	H3F3A	TEMPUS	TEMPUS			Other																												
HAS3	gene	HAS3	TEMPUS	TEMPUS			Other																												
HAVCR2	gene	HAVCR2	TEMPUS	TEMPUS			Other																												
HDAC1	gene	HDAC1	TEMPUS	TEMPUS			Other																												
HDAC2	gene	HDAC2	TEMPUS	TEMPUS			Other																												
HDAC4	gene	HDAC4	TEMPUS	TEMPUS			Other																												
HGF	gene	HGF	TEMPUS	TEMPUS			Other																												
HIF1A	gene	HIF1A	TEMPUS	TEMPUS			Other																												
HIST1H1E	gene	HIST1H1E	TEMPUS	TEMPUS			Other																												
HIST1H3B	gene	HIST1H3B	TEMPUS	TEMPUS			Other																												
HIST1H4E	gene	HIST1H4E	TEMPUS	TEMPUS			Other																												
HLA-A	gene	HLA-A	TEMPUS	TEMPUS			Other																												
HLA-B	gene	HLA-B	TEMPUS	TEMPUS			Other																												
HLA-C	gene	HLA-C	TEMPUS	TEMPUS			Other																												
HLA-DMA	gene	HLA-DMA	TEMPUS	TEMPUS			Other																												
HLA-DMB	gene	HLA-DMB	TEMPUS	TEMPUS			Other																												
HLA-DOA	gene	HLA-DOA	TEMPUS	TEMPUS			Other																												
HLA-DOB	gene	HLA-DOB	TEMPUS	TEMPUS			Other																												
HLA-DPA1	gene	HLA-DPA1	TEMPUS	TEMPUS			Other																												
HLA-DPB1	gene	HLA-DPB1	TEMPUS	TEMPUS			Other																												
HLA-DPB2	gene	HLA-DPB2	TEMPUS	TEMPUS			Other																												
HLA-DQA1	gene	HLA-DQA1	TEMPUS	TEMPUS			Other																												
HLA-DQA2	gene	HLA-DQA2	TEMPUS	TEMPUS			Other																												
