Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
MTOR	gene	MTOR	foundation_one	foundation_one			Other																												
GABRA6	gene	GABRA6	foundation_one	foundation_one			Other																												
GATA1	gene	GATA1	foundation_one	foundation_one			Other																												
GATA2	gene	GATA2	foundation_one	foundation_one			Other																												
GATA3	gene	GATA3	foundation_one	foundation_one			Other																												
GATA4	gene	GATA4	foundation_one	foundation_one			Other																												
GATA6	gene	GATA6	foundation_one	foundation_one			Other																												
GLI1	gene	GLI1	foundation_one	foundation_one			Other																												
GNA11	gene	GNA11	foundation_one	foundation_one			Other																												
GNAQ	gene	GNAQ	foundation_one	foundation_one			Other																												
GNAS	gene	GNAS	foundation_one	foundation_one			Other																												
GRIN2A	gene	GRIN2A	foundation_one	foundation_one			Other																												
GRM3	gene	GRM3	foundation_one	foundation_one			Other																												
GSK3B	gene	GSK3B	foundation_one	foundation_one			Other																												
MSH6	gene	MSH6	foundation_one	foundation_one			Other																												
H3F3A	gene	H3F3A	foundation_one	foundation_one			Other																												
HGF	gene	HGF	foundation_one	foundation_one			Other																												
HRAS	gene	HRAS	foundation_one	foundation_one			Other																												
HSD3B1	gene	HSD3B1	foundation_one	foundation_one			Other																												
HSP90AA1	gene	HSP90AA1	foundation_one	foundation_one			Other																												
IDH1	gene	IDH1	foundation_one	foundation_one			Other																												
IDH2	gene	IDH2	foundation_one	foundation_one			Other																												
IGF1R	gene	IGF1R	foundation_one	foundation_one			Other																												
IGF2	gene	IGF2	foundation_one	foundation_one			Other																												
IL7R	gene	IL7R	foundation_one	foundation_one			Other																												
INHBA	gene	INHBA	foundation_one	foundation_one			Other																												
IRF2	gene	IRF2	foundation_one	foundation_one			Other																												
IRF4	gene	IRF4	foundation_one	foundation_one			Other																												
JAK1	gene	JAK1	foundation_one	foundation_one			Other																												
JAK2	gene	JAK2	foundation_one	foundation_one			Other																												
JAK3	gene	JAK3	foundation_one	foundation_one			Other																												
