Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ERF	gene	ERF	oncokb	oncokb			Other																												
ERG	gene	ERG	oncokb	oncokb			Other																												
ESR1	gene	ESR1	oncokb	oncokb			Other																												
ETV1	gene	ETV1	oncokb	oncokb			Other																												
ETV4	gene	ETV4	oncokb	oncokb			Other																												
ETV6	gene	ETV6	oncokb	oncokb			Other																												
EWSR1	gene	EWSR1	oncokb	oncokb			Other																												
EZH1	gene	EZH1	oncokb	oncokb			Other																												
EZH2	gene	EZH2	oncokb	oncokb			Other																												
FANCA	gene	FANCA	oncokb	oncokb			Other																												
FANCC	gene	FANCC	oncokb	oncokb			Other																												
FANCD2	gene	FANCD2	oncokb	oncokb			Other																												
FAT1	gene	FAT1	oncokb	oncokb			Other																												
FGF3	gene	FGF3	oncokb	oncokb			Other																												
FGF4	gene	FGF4	oncokb	oncokb			Other																												
FGFR1	gene	FGFR1	oncokb	oncokb			Other																												
FGFR3	gene	FGFR3	oncokb	oncokb			Other																												
FGFR2	gene	FGFR2	oncokb	oncokb			Other																												
FGFR4	gene	FGFR4	oncokb	oncokb			Other																												
FH	gene	FH	oncokb	oncokb			Other																												
FOXO1	gene	FOXO1	oncokb	oncokb			Other																												
FLT1	gene	FLT1	oncokb	oncokb			Other																												
FLT3	gene	FLT3	oncokb	oncokb			Other																												
FLT4	gene	FLT4	oncokb	oncokb			Other																												
MTOR	gene	MTOR	oncokb	oncokb			Other																												
FYN	gene	FYN	oncokb	oncokb			Other																												
GATA1	gene	GATA1	oncokb	oncokb			Other																												
GATA2	gene	GATA2	oncokb	oncokb			Other																												
GATA3	gene	GATA3	oncokb	oncokb			Other																												
GLI1	gene	GLI1	oncokb	oncokb			Other																												
GNA11	gene	GNA11	oncokb	oncokb			Other																												
GNA12	gene	GNA12	oncokb	oncokb			Other																												
GNAQ	gene	GNAQ	oncokb	oncokb			Other																												
GNAS	gene	GNAS	oncokb	oncokb			Other																												
GNB1	gene	GNB1	oncokb	oncokb			Other																												
GPS2	gene	GPS2	oncokb	oncokb			Other																												
GRIN2A	gene	GRIN2A	oncokb	oncokb			Other																												
GSK3B	gene	GSK3B	oncokb	oncokb			Other																												
MSH6	gene	MSH6	oncokb	oncokb			Other																												
GTF2I	gene	GTF2I	oncokb	oncokb			Other																												
HIST1H1C	gene	HIST1H1C	oncokb	oncokb			Other																												
HIST1H1D	gene	HIST1H1D	oncokb	oncokb			Other																												
HIST1H1E	gene	HIST1H1E	oncokb	oncokb			Other																												
HIST1H1B	gene	HIST1H1B	oncokb	oncokb			Other																												
HIST1H2BD	gene	HIST1H2BD	oncokb	oncokb			Other																												
H3F3A	gene	H3F3A	oncokb	oncokb			Other																												
H3F3B	gene	H3F3B	oncokb	oncokb			Other																												
HDAC1	gene	HDAC1	oncokb	oncokb			Other																												
HGF	gene	HGF	oncokb	oncokb			Other																												
HIF1A	gene	HIF1A	oncokb	oncokb			Other																												
HLA-A	gene	HLA-A	oncokb	oncokb			Other																												
HLA-B	gene	HLA-B	oncokb	oncokb			Other																												
FOXA1	gene	FOXA1	oncokb	oncokb			Other																												
HRAS	gene	HRAS	oncokb	oncokb			Other																												
DNAJB1	gene	DNAJB1	oncokb	oncokb			Other																												
IRF8	gene	IRF8	oncokb	oncokb			Other																												
ID3	gene	ID3	oncokb	oncokb			Other																												
IDH1	gene	IDH1	oncokb	oncokb			Other																												
IDH2	gene	IDH2	oncokb	oncokb			Other																												
IFNGR1	gene	IFNGR1	oncokb	oncokb			Other																												
IGF1	gene	IGF1	oncokb	oncokb			Other																												
IGF1R	gene	IGF1R	oncokb	oncokb			Other																												
IGF2	gene	IGF2	oncokb	oncokb			Other																												
IL7R	gene	IL7R	oncokb	oncokb			Other																												
IL10	gene	IL10	oncokb	oncokb			Other																												
INHA	gene	INHA	oncokb	oncokb			Other																												
INHBA	gene	INHBA	oncokb	oncokb			Other																												
INPP4A	gene	INPP4A	oncokb	oncokb			Other																												
INPPL1	gene	INPPL1	oncokb	oncokb			Other																												
INSR	gene	INSR	oncokb	oncokb			Other																												
IRF1	gene	IRF1	oncokb	oncokb			Other																												
IRF4	gene	IRF4	oncokb	oncokb			Other																												
IRS1	gene	IRS1	oncokb	oncokb			Other																												
JAK1	gene	JAK1	oncokb	oncokb			Other																												
JAK2	gene	JAK2	oncokb	oncokb			Other																												
JAK3	gene	JAK3	oncokb	oncokb			Other																												
JARID2	gene	JARID2	oncokb	oncokb			Other																												
JUN	gene	JUN	oncokb	oncokb			Other																												
KDR	gene	KDR	oncokb	oncokb			Other																												
KIT	gene	KIT	oncokb	oncokb			Other																												
KRAS	gene	KRAS	oncokb	oncokb			Other																												
LCK	gene	LCK	oncokb	oncokb			Other																												
LMO1	gene	LMO1	oncokb	oncokb			Other																												
LTB	gene	LTB	oncokb	oncokb			Other																												
LYN	gene	LYN	oncokb	oncokb			Other																												
SH2D1A	gene	SH2D1A	oncokb	oncokb			Other																												
EPCAM	gene	EPCAM	oncokb	oncokb			Other																												
SMAD2	gene	SMAD2	oncokb	oncokb			Other																												
SMAD3	gene	SMAD3	oncokb	oncokb			Other																												
SMAD4	gene	SMAD4	oncokb	oncokb			Other																												
MAX	gene	MAX	oncokb	oncokb			Other																												
MCL1	gene	MCL1	oncokb	oncokb			Other																												
MDM2	gene	MDM2	oncokb	oncokb			Other																												
