Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
FLT3	gene	FLT3	msk_heme	msk_heme			Other																												
FLT4	gene	FLT4	msk_heme	msk_heme			Other																												
MTOR	gene	MTOR	msk_heme	msk_heme			Other																												
FYN	gene	FYN	msk_heme	msk_heme			Other																												
GATA1	gene	GATA1	msk_heme	msk_heme			Other																												
GATA2	gene	GATA2	msk_heme	msk_heme			Other																												
GATA3	gene	GATA3	msk_heme	msk_heme			Other																												
GNA11	gene	GNA11	msk_heme	msk_heme			Other																												
GNA12	gene	GNA12	msk_heme	msk_heme			Other																												
GNAQ	gene	GNAQ	msk_heme	msk_heme			Other																												
GNAS	gene	GNAS	msk_heme	msk_heme			Other																												
GNB1	gene	GNB1	msk_heme	msk_heme			Other																												
GRIN2A	gene	GRIN2A	msk_heme	msk_heme			Other																												
GSK3B	gene	GSK3B	msk_heme	msk_heme			Other																												
MSH6	gene	MSH6	msk_heme	msk_heme			Other																												
GTF2I	gene	GTF2I	msk_heme	msk_heme			Other																												
HIST1H1C	gene	HIST1H1C	msk_heme	msk_heme			Other																												
HIST1H1D	gene	HIST1H1D	msk_heme	msk_heme			Other																												
HIST1H1E	gene	HIST1H1E	msk_heme	msk_heme			Other																												
HIST1H1B	gene	HIST1H1B	msk_heme	msk_heme			Other																												
HIST1H2BD	gene	HIST1H2BD	msk_heme	msk_heme			Other																												
HDAC1	gene	HDAC1	msk_heme	msk_heme			Other																												
HGF	gene	HGF	msk_heme	msk_heme			Other																												
HIF1A	gene	HIF1A	msk_heme	msk_heme			Other																												
HLA-A	gene	HLA-A	msk_heme	msk_heme			Other																												
HRAS	gene	HRAS	msk_heme	msk_heme			Other																												
IRF8	gene	IRF8	msk_heme	msk_heme			Other																												
ID3	gene	ID3	msk_heme	msk_heme			Other																												
IDH1	gene	IDH1	msk_heme	msk_heme			Other																												
IDH2	gene	IDH2	msk_heme	msk_heme			Other																												
IGF1	gene	IGF1	msk_heme	msk_heme			Other																												
IGF1R	gene	IGF1R	msk_heme	msk_heme			Other																												
IGF2	gene	IGF2	msk_heme	msk_heme			Other																												
IL7R	gene	IL7R	msk_heme	msk_heme			Other																												
IRF1	gene	IRF1	msk_heme	msk_heme			Other																												
IRF4	gene	IRF4	msk_heme	msk_heme			Other																												
JAK1	gene	JAK1	msk_heme	msk_heme			Other																												
JAK2	gene	JAK2	msk_heme	msk_heme			Other																												
JAK3	gene	JAK3	msk_heme	msk_heme			Other																												
JARID2	gene	JARID2	msk_heme	msk_heme			Other																												
JUN	gene	JUN	msk_heme	msk_heme			Other																												
KDR	gene	KDR	msk_heme	msk_heme			Other																												
KIT	gene	KIT	msk_heme	msk_heme			Other																												
KRAS	gene	KRAS	msk_heme	msk_heme			Other																												
LCK	gene	LCK	msk_heme	msk_heme			Other																												
LMO1	gene	LMO1	msk_heme	msk_heme			Other																												
LTB	gene	LTB	msk_heme	msk_heme			Other																												
SMAD2	gene	SMAD2	msk_heme	msk_heme			Other																												
SMAD4	gene	SMAD4	msk_heme	msk_heme			Other																												
MCL1	gene	MCL1	msk_heme	msk_heme			Other																												
MDM2	gene	MDM2	msk_heme	msk_heme			Other																												
MDM4	gene	MDM4	msk_heme	msk_heme			Other																												
MAP3K1	gene	MAP3K1	msk_heme	msk_heme			Other																												
MEN1	gene	MEN1	msk_heme	msk_heme			Other																												
MET	gene	MET	msk_heme	msk_heme			Other																												
CIITA	gene	CIITA	msk_heme	msk_heme			Other																												
MITF	gene	MITF	msk_heme	msk_heme			Other																												
MLH1	gene	MLH1	msk_heme	msk_heme			Other																												
KMT2A	gene	KMT2A	msk_heme	msk_heme			Other																												
MPL	gene	MPL	msk_heme	msk_heme			Other																												
MRE11A	gene	MRE11A	msk_heme	msk_heme			Other																												
MSH2	gene	MSH2	msk_heme	msk_heme			Other																												
MUTYH	gene	MUTYH	msk_heme	msk_heme			Other																												
MYC	gene	MYC	msk_heme	msk_heme			Other																												
MYCL	gene	MYCL	msk_heme	msk_heme			Other																												
MYCN	gene	MYCN	msk_heme	msk_heme			Other																												
MYD88	gene	MYD88	msk_heme	msk_heme			Other																												
NBN	gene	NBN	msk_heme	msk_heme			Other																												
NF1	gene	NF1	msk_heme	msk_heme			Other																												
NF2	gene	NF2	msk_heme	msk_heme			Other																												
NFE2	gene	NFE2	msk_heme	msk_heme			Other																												
NFE2L2	gene	NFE2L2	msk_heme	msk_heme			Other																												
NOTCH1	gene	NOTCH1	msk_heme	msk_heme			Other																												
NOTCH2	gene	NOTCH2	msk_heme	msk_heme			Other																												
NOTCH3	gene	NOTCH3	msk_heme	msk_heme			Other																												
NOTCH4	gene	NOTCH4	msk_heme	msk_heme			Other																												
NPM1	gene	NPM1	msk_heme	msk_heme			Other																												
NRAS	gene	NRAS	msk_heme	msk_heme			Other																												
NTRK1	gene	NTRK1	msk_heme	msk_heme			Other																												
NTRK2	gene	NTRK2	msk_heme	msk_heme			Other																												
NTRK3	gene	NTRK3	msk_heme	msk_heme			Other																												
DDR2	gene	DDR2	msk_heme	msk_heme			Other																												
FURIN	gene	FURIN	msk_heme	msk_heme			Other																												
PAX5	gene	PAX5	msk_heme	msk_heme			Other																												
PCBP1	gene	PCBP1	msk_heme	msk_heme			Other																												
PDCD1	gene	PDCD1	msk_heme	msk_heme			Other																												
PDGFRA	gene	PDGFRA	msk_heme	msk_heme			Other																												
PDGFRB	gene	PDGFRB	msk_heme	msk_heme			Other																												
PDPK1	gene	PDPK1	msk_heme	msk_heme			Other																												
PIGA	gene	PIGA	msk_heme	msk_heme			Other																												
PIK3C2G	gene	PIK3C2G	msk_heme	msk_heme			Other																												
PIK3C3	gene	PIK3C3	msk_heme	msk_heme			Other																												
PIK3CA	gene	PIK3CA	msk_heme	msk_heme			Other																												
PIM1	gene	PIM1	msk_heme	msk_heme			Other																												
PIK3CG	gene	PIK3CG	msk_heme	msk_heme			Other																												
PIK3R1	gene	PIK3R1	msk_heme	msk_heme			Other																												
PIK3R2	gene	PIK3R2	msk_heme	msk_heme			Other																												
PLCG1	gene	PLCG1	msk_heme	msk_heme			Other																												
PLCG2	gene	PLCG2	msk_heme	msk_heme			Other																												
PMS2	gene	PMS2	msk_heme	msk_heme			Other																												
PPP2R1A	gene	PPP2R1A	msk_heme	msk_heme			Other																												
PRKAR1A	gene	PRKAR1A	msk_heme	msk_heme			Other																												
MAPK1	gene	MAPK1	msk_heme	msk_heme			Other																												
MAPK3	gene	MAPK3	msk_heme	msk_heme			Other																												
