Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
FGF8	gene	FGF8	AZ300	AZ300			Other																												
FGF9	gene	FGF9	AZ300	AZ300			Other																												
FGFR1	gene	FGFR1	AZ300	AZ300			Other																												
FGFR2	gene	FGFR2	AZ300	AZ300			Other																												
FGFR3	gene	FGFR3	AZ300	AZ300			Other																												
FGFR4	gene	FGFR4	AZ300	AZ300			Other																												
FKBP1A	gene	FKBP1A	AZ300	AZ300			Other																												
FLT3	gene	FLT3	AZ300	AZ300			Other																												
FOXA1	gene	FOXA1	AZ300	AZ300			Other																												
FOXA2	gene	FOXA2	AZ300	AZ300			Other																												
FOXC1	gene	FOXC1	AZ300	AZ300			Other																												
FOXL2	gene	FOXL2	AZ300	AZ300			Other																												
FRS2	gene	FRS2	AZ300	AZ300			Other																												
GAS6	gene	GAS6	AZ300	AZ300			Other																												
GATA3	gene	GATA3	AZ300	AZ300			Other																												
GNA11	gene	GNA11	AZ300	AZ300			Other																												
GNA13	gene	GNA13	AZ300	AZ300			Other																												
GNAQ	gene	GNAQ	AZ300	AZ300			Other																												
GNAS	gene	GNAS	AZ300	AZ300			Other																												
H3F3C	gene	H3F3C	AZ300	AZ300			Other																												
HGF	gene	HGF	AZ300	AZ300			Other																												
HIST1H1C	gene	HIST1H1C	AZ300	AZ300			Other																												
HIST1H2BD	gene	HIST1H2BD	AZ300	AZ300			Other																												
HNF1A	gene	HNF1A	AZ300	AZ300			Other																												
HRAS	gene	HRAS	AZ300	AZ300			Other																												
IDH1	gene	IDH1	AZ300	AZ300			Other																												
IDH2	gene	IDH2	AZ300	AZ300			Other																												
IGF1R	gene	IGF1R	AZ300	AZ300			Other																												
IL6	gene	IL6	AZ300	AZ300			Other																												
INPP4A	gene	INPP4A	AZ300	AZ300			Other																												
INPP4B	gene	INPP4B	AZ300	AZ300			Other																												
IRAK4	gene	IRAK4	AZ300	AZ300			Other																												
JAK1	gene	JAK1	AZ300	AZ300			Other																												
JAK2	gene	JAK2	AZ300	AZ300			Other																												
JAK3	gene	JAK3	AZ300	AZ300			Other																												
KDM5C	gene	KDM5C	AZ300	AZ300			Other																												
KDM6A	gene	KDM6A	AZ300	AZ300			Other																												
KDR	gene	KDR	AZ300	AZ300			Other																												
KEAP1	gene	KEAP1	AZ300	AZ300			Other																												
KIT	gene	KIT	AZ300	AZ300			Other																												
KMT2B	gene	KMT2B	AZ300	AZ300			Other																												
KMT2C	gene	KMT2C	AZ300	AZ300			Other																												
KMT2D	gene	KMT2D	AZ300	AZ300			Other																												
KRAS	gene	KRAS	AZ300	AZ300			Other																												
LAMP1	gene	LAMP1	AZ300	AZ300			Other																												
LIFR	gene	LIFR	AZ300	AZ300			Other																												
LRRK2	gene	LRRK2	AZ300	AZ300			Other																												
MALAT1	gene	MALAT1	AZ300	AZ300			Other																												
MAP2K1	gene	MAP2K1	AZ300	AZ300			Other																												
MAP2K2	gene	MAP2K2	AZ300	AZ300			Other																												
MAP2K4	gene	MAP2K4	AZ300	AZ300			Other																												
MAP3K1	gene	MAP3K1	AZ300	AZ300			Other																												
MAP3K13	gene	MAP3K13	AZ300	AZ300			Other																												
MAP3K8	gene	MAP3K8	AZ300	AZ300			Other																												
MAPK1	gene	MAPK1	AZ300	AZ300			Other																												
MAPK3	gene	MAPK3	AZ300	AZ300			Other																												
MAPK8IP1	gene	MAPK8IP1	AZ300	AZ300			Other																												
