Entity Name	Entity type	Gene Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
HPGD	gene	HPGD	cancermine	cancermine			Other																												
HRAS	gene	HRAS	cancermine	cancermine			Other																												
ID4	gene	ID4	cancermine	cancermine			Other																												
IDH1	gene	IDH1	cancermine	cancermine			Other																												
IGFBP2	gene	IGFBP2	cancermine	cancermine			Other																												
IGFBP7	gene	IGFBP7	cancermine	cancermine			Other																												
IKZF1	gene	IKZF1	cancermine	cancermine			Other																												
IL6	gene	IL6	cancermine	cancermine			Other																												
INPP4B	gene	INPP4B	cancermine	cancermine			Other																												
IRF4	gene	IRF4	cancermine	cancermine			Other																												
JAK2	gene	JAK2	cancermine	cancermine			Other																												
JUN	gene	JUN	cancermine	cancermine			Other																												
KIF14	gene	KIF14	cancermine	cancermine			Other																												
KISS1	gene	KISS1	cancermine	cancermine			Other																												
KIT	gene	KIT	cancermine	cancermine			Other																												
KL	gene	KL	cancermine	cancermine			Other																												
KLF4	gene	KLF4	cancermine	cancermine			Other																												
KLF5	gene	KLF5	cancermine	cancermine			Other																												
KLF6	gene	KLF6	cancermine	cancermine			Other																												
KMT2A	gene	KMT2A	cancermine	cancermine			Other																												
KRAS	gene	KRAS	cancermine	cancermine			Other																												
LIN28B	gene	LIN28B	cancermine	cancermine			Other																												
LMO1	gene	LMO1	cancermine	cancermine			Other																												
LMO2	gene	LMO2	cancermine	cancermine			Other																												
LOX	gene	LOX	cancermine	cancermine			Other																												
LRRC4	gene	LRRC4	cancermine	cancermine			Other																												
MACC1	gene	MACC1	cancermine	cancermine			Other																												
MAF	gene	MAF	cancermine	cancermine			Other																												
MALT1	gene	MALT1	cancermine	cancermine			Other																												
MAPK1	gene	MAPK1	cancermine	cancermine			Other																												
MARK2	gene	MARK2	cancermine	cancermine			Other																												
MCC	gene	MCC	cancermine	cancermine			Other																												
MDM2	gene	MDM2	cancermine	cancermine			Other																												
MECOM	gene	MECOM	cancermine	cancermine			Other																												
MEIS1	gene	MEIS1	cancermine	cancermine			Other																												
MEN1	gene	MEN1	cancermine	cancermine			Other																												
MET	gene	MET	cancermine	cancermine			Other																												
MITF	gene	MITF	cancermine	cancermine			Other																												
MLLT1	gene	MLLT1	cancermine	cancermine			Other																												
MLLT11	gene	MLLT11	cancermine	cancermine			Other																												
MLLT3	gene	MLLT3	cancermine	cancermine			Other																												
MNX1	gene	MNX1	cancermine	cancermine			Other																												
MST1R	gene	MST1R	cancermine	cancermine			Other																												
MTDH	gene	MTDH	cancermine	cancermine			Other																												
MTOR	gene	MTOR	cancermine	cancermine			Other																												
MTSS1	gene	MTSS1	cancermine	cancermine			Other																												
MUC1	gene	MUC1	cancermine	cancermine			Other																												
MYB	gene	MYB	cancermine	cancermine			Other																												
MYC	gene	MYC	cancermine	cancermine			Other																												
MYCL	gene	MYCL	cancermine	cancermine			Other																												
MYCN	gene	MYCN	cancermine	cancermine			Other																												
MYO18B	gene	MYO18B	cancermine	cancermine			Other																												
NCOA3	gene	NCOA3	cancermine	cancermine			Other																												
NDRG2	gene	NDRG2	cancermine	cancermine			Other																												
NF1	gene	NF1	cancermine	cancermine			Other																												
NF2	gene	NF2	cancermine	cancermine			Other																												
NFIB	gene	NFIB	cancermine	cancermine			Other																												
NFKB1	gene	NFKB1	cancermine	cancermine			Other																												
NKX2-1	gene	NKX2-1	cancermine	cancermine			Other																												
NOTCH1	gene	NOTCH1	cancermine	cancermine			Other																												
NOTCH2	gene	NOTCH2	cancermine	cancermine			Other																												
NPM1	gene	NPM1	cancermine	cancermine			Other																												
NR0B2	gene	NR0B2	cancermine	cancermine			Other																												
NR4A3	gene	NR4A3	cancermine	cancermine			Other																												
NRAS	gene	NRAS	cancermine	cancermine			Other																												
NTRK1	gene	NTRK1	cancermine	cancermine			Other																												
OTX2	gene	OTX2	cancermine	cancermine			Other																												
PARK7	gene	PARK7	cancermine	cancermine			Other																												
PAWR	gene	PAWR	cancermine	cancermine			Other																												
PAX5	gene	PAX5	cancermine	cancermine			Other																												
PAX6	gene	PAX6	cancermine	cancermine			Other																												
PBX1	gene	PBX1	cancermine	cancermine			Other																												
PDCD4	gene	PDCD4	cancermine	cancermine			Other																												
PDGFB	gene	PDGFB	cancermine	cancermine			Other																												
PDGFRA	gene	PDGFRA	cancermine	cancermine			Other																												
PDLIM7	gene	PDLIM7	cancermine	cancermine			Other																												
PDX1	gene	PDX1	cancermine	cancermine			Other																												
PHF6	gene	PHF6	cancermine	cancermine			Other																												
PI3	gene	PI3	cancermine	cancermine			Other																												
PIK3CA	gene	PIK3CA	cancermine	cancermine			Other																												
PIM1	gene	PIM1	cancermine	cancermine			Other																												
PLAG1	gene	PLAG1	cancermine	cancermine			Other																												
PLAGL2	gene	PLAGL2	cancermine	cancermine			Other																												
PLXNB1	gene	PLXNB1	cancermine	cancermine			Other																												
PML	gene	PML	cancermine	cancermine			Other																												
POU3F2	gene	POU3F2	cancermine	cancermine			Other																												
PRDM1	gene	PRDM1	cancermine	cancermine			Other																												
PRR11	gene	PRR11	cancermine	cancermine			Other																												
PTCH1	gene	PTCH1	cancermine	cancermine			Other																												
PTEN	gene	PTEN	cancermine	cancermine			Other																												
PTGDR	gene	PTGDR	cancermine	cancermine			Other																												
PTGS2	gene	PTGS2	cancermine	cancermine			Other																												
PTPN11	gene	PTPN11	cancermine	cancermine			Other																												
PTPN6	gene	PTPN6	cancermine	cancermine			Other																												
PTPRD	gene	PTPRD	cancermine	cancermine			Other																												
PTPRO	gene	PTPRO	cancermine	cancermine			Other																												
PTTG1	gene	PTTG1	cancermine	cancermine			Other																												
QKI	gene	QKI	cancermine	cancermine			Other																												
RAB25	gene	RAB25	cancermine	cancermine			Other																												
RAF1	gene	RAF1	cancermine	cancermine			Other																												
RAP1GAP	gene	RAP1GAP	cancermine	cancermine			Other																												
RARRES1	gene	RARRES1	cancermine	cancermine			Other																												
RASAL1	gene	RASAL1	cancermine	cancermine			Other																												
RASSF1	gene	RASSF1	cancermine	cancermine			Other																												
RB1	gene	RB1	cancermine	cancermine			Other																												
REL	gene	REL	cancermine	cancermine			Other																												
RELB	gene	RELB	cancermine	cancermine			Other																												
